numberOfackers,0,evaluatorParrellism,36,routingParrellism,12,spoutParallesim,25,numberOfQueryKeywords,3,numberOfQueries,0,spatialRange,1.0,localIndexType,HYBRID_GRID,globalIndexType,PARTITIONED_TEXT_AWARE
Topology Id, Tornado-14-1469517034,Number of Workers,51,600,Spid,Tweets , emitt,521355 , ack,0 , failed,0 , completeLatency,0.0, upTime,701_698_697_702_698_699_700_699_700_699_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,699_,totall,Spid,Tweets , emitt,382293300 , ack,0 , failed,0 , completeLatency,0.0, upTime,701_698_697_702_698_699_700_699_700_699_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,699_,600,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,440519,,ExecutedstdTweets_default,5071.014894102122,,Eexecute_Latency,Tweets_default,0.0013182015679827595,,minup time,701,maxup time,702,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,696,maxup time,702,total,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,302301600,,ExecutedstdTweets_default,3356004.83563418,,Eexecute_Latency,Tweets_default,0.0013165886330585152,,minup time,701,maxup time,702,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,696,maxup time,702,
Topology Id, Tornado-14-1469517034,Number of Workers,51,600,Spid,Tweets , emitt,482319 , ack,0 , failed,0 , completeLatency,0.0, upTime,762_762_760_762_761_763_760_763_761_760_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,762_,totall,Spid,Tweets , emitt,408063020 , ack,0 , failed,0 , completeLatency,0.0, upTime,762_762_760_762_761_763_760_763_761_760_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,762_,600,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,440779,,ExecutedstdTweets_default,5061.035302719661,,Eexecute_Latency,Tweets_default,0.0013122198333886507,,minup time,762,maxup time,765,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,758,maxup time,765,total,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,329686800,,ExecutedstdTweets_default,3882079.3311832254,,Eexecute_Latency,Tweets_default,0.0013160581116410759,,minup time,762,maxup time,765,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,758,maxup time,765,

numberOfackers,0,evaluatorParrellism,36,routingParrellism,1,spoutParallesim,10,numberOfQueryKeywords,3,numberOfQueries,0,spatialRange,1.0,localIndexType,HYBRID_GRID,globalIndexType,PARTITIONED_TEXT_AWARE
Topology Id, Tornado-15-1469517892,Number of Workers,49,600,Spid,Tweets , emitt,279950 , ack,0 , failed,0 , completeLatency,0.0, upTime,637_637_634_639_638_638_638_635_635_637_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,636_,totall,Spid,Tweets , emitt,190343140 , ack,0 , failed,0 , completeLatency,0.0, upTime,637_637_634_639_638_638_638_635_635_637_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,636_,600,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,125020,,ExecutedstdTweets_default,0.0,,Eexecute_Latency,Tweets_default,0.0012519379008328053,,minup time,638,maxup time,638,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,633,maxup time,639,total,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,78757900,,ExecutedstdTweets_default,0.0,,Eexecute_Latency,Tweets_default,0.0012519379008328053,,minup time,638,maxup time,638,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,633,maxup time,639,
Topology Id, Tornado-15-1469517892,Number of Workers,49,600,Spid,Tweets , emitt,211610 , ack,0 , failed,0 , completeLatency,0.0, upTime,698_697_696_700_702_699_699_697_698_699_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,696_,totall,Spid,Tweets , emitt,196809020 , ack,0 , failed,0 , completeLatency,0.0, upTime,698_697_696_700_702_699_699_697_698_699_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,696_,600,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,120786,,ExecutedstdTweets_default,0.0,,Eexecute_Latency,Tweets_default,0.0012206684233462403,,minup time,701,maxup time,701,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,695,maxup time,702,total,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,85043920,,ExecutedstdTweets_default,0.0,,Eexecute_Latency,Tweets_default,0.0012438278950452895,,minup time,701,maxup time,701,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,695,maxup time,702,
Topology Id, Tornado-15-1469517892,Number of Workers,49,600,Spid,Tweets , emitt,161071 , ack,0 , failed,0 , completeLatency,0.0, upTime,761_761_759_762_762_760_761_757_759_760_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,759_,totall,Spid,Tweets , emitt,203162540 , ack,0 , failed,0 , completeLatency,0.0, upTime,761_761_759_762_762_760_761_757_759_760_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,759_,600,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,116489,,ExecutedstdTweets_default,0.0,,Eexecute_Latency,Tweets_default,0.0012217819194559629,,minup time,761,maxup time,761,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,756,maxup time,763,total,Bolt id,Tornado_index,Emitted,,Eexecuted,Tweets_default,91172940,,ExecutedstdTweets_default,0.0,,Eexecute_Latency,Tweets_default,0.0012466418215755684,,minup time,761,maxup time,761,Bolt id,Tornado,Emitted,,Eexecuted,,Executedstd,Eexecute_Latency,,minup time,756,maxup time,763,

numberOfackers,0,evaluatorParrellism,36,routingParrellism,12,spoutParallesim,25,numberOfQueryKeywords,3,numberOfQueries,0,spatialRange,1.0,localIndexType,HYBRID_GRID,globalIndexType,PARTITIONED
Topology Id, Tornado-16-1469560933,Number of Workers,75,600,Spid,Tweets , emitt,761863 , ack,0 , failed,0 , completeLatency,0.0, upTime,633_1_631_630_633_92_631_636_327_91_170_74_636_92_630_631_630_143_631_212_631_314_107_52_209_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,633_,totall,Spid,Tweets , emitt,468050700 , ack,0 , failed,0 , completeLatency,0.0, upTime,633_1_631_630_633_92_631_636_327_91_170_74_636_92_630_631_630_143_631_212_631_314_107_52_209_,Spid,querySource , emitt,0 , ack,0 , failed,0 , completeLatency,0.0, upTime,633_,600,Bolt id,Tornado_index,Emitted,Tornado_index_bolt_extension_data,1077094,,Eexecuted,Tweets_default,1077094,,ExecutedstdTweets_default,19634.209113343506,,Eexecute_Latency,Tweets_default,0.003944431545226015,,minup time,208,maxup time,636,Bolt id,Tornado,Emitted,,Eexecuted,Tornado_index_Tornado_index_bolt_extension_data,1147862,,ExecutedstdTornado_index_Tornado_index_bolt_extension_data,24991.433313749156,,Eexecute_Latency,Tornado_index_Tornado_index_bolt_extension_data,0.0014891305950861787,,minup time,629,maxup time,636,total,Bolt id,Tornado_index,Emitted,Tornado_index_bolt_extension_data,663679860,,Eexecuted,Tweets_default,663679880,,ExecutedstdTweets_default,1.225524194650554E7,,Eexecute_Latency,Tweets_default,0.003944431545226015,,minup time,208,maxup time,636,Bolt id,Tornado,Emitted,,Eexecuted,Tornado_index_Tornado_index_bolt_extension_data,708782540,,ExecutedstdTornado_index_Tornado_index_bolt_extension_data,1.541101838524042E7,,Eexecute_Latency,Tornado_index_Tornado_index_bolt_extension_data,0.0014891305950861787,,minup time,629,maxup time,636,
